A,B,C,grid_loc
3,7,38,"4,E"
3,5,38,"4,E"
3,7,47,"4,E"
4,7,47,"4,E"
4,7,47,"4,E"
4,7,47,"4,E"
4,9,47,"4,E"
4,4,47,"4,E"
4,4,47,"4,E"
4,5,47,"4,E"
4,5,47,"4,E"
4,7,47,"4,E"
4,7,47,"4,E"
4,8,47,"4,E"
4,5,47,"4,E"
4,5,47,"4,E"
4,4,47,"4,E"
4,5,47,"4,E"
4,5,47,"4,E"
4,5,47,"4,E"
4,6,47,"4,E"
